,job_title,company_name,location,summary,salary
686,"Sr Director, Mobile Apps",OpenX,"Los Angeles, CA","Minimum of a Bachelorâ€™s degree (preferably in computer science or engineering); Evaluate opportunities, developing products and features based on market...",Nothing_found
692,"Sr Director, Ad Formats",OpenX,"Los Angeles, CA","Minimum of a Bachelorâ€™s degree (preferably in computer science or engineering); Evaluate opportunities, developing products and features based on market...",Nothing_found
693,"Manager or Senior Manager, Global Strategic Sourcing Support",Activision,"Santa Monica, CA 90405",Team to obtain required data. Administration/ engineering/ computer science or other technical/ quantitative. Of data to be versatile and flexible in analysis;...,Nothing_found
694,Data Analyst,Youth Policy Institute,"Hollywood, CA","Support in data gathering and analysis of longitudinal data across various public data systems. Data development and support, 2) data collection and monitoring...",Nothing_found
695,"Associate Director, Experience Analytics",RAPP,"Los Angeles, CA",Data is exciting for you. Do you have grocery shopping down to a science? You have experience analyzing campaign data from multiple sources â€“ digital and non...,Nothing_found
696,Director Decision Sciences,KERN,"Woodland Hills, CA 91367","Increase the sophistication of the implementing and reporting of the agencyâ€™s data analytical offerings (web analytics, data analytics, data modeling and...",Nothing_found
697,"Director, Incident Response & Digital Forensics",HuntSource,"Los Angeles, CA","Proficient with host-based forensics and data breach response. Bachelorâ€™s Degree in Information Security, Computer Science, Digital Forensics, Cyber Security or...",Nothing_found
698,PROGRAM MANAGER - OFFICE OF THE VP FOR RESEARCH,Charles Drew University Of Medicine And Science,"Los Angeles, CA","Regionally accredited bachelorâ€™s degree required in Health Sciences or Business Sciences fields, including but not limited to:....",Nothing_found
699,"Regional Associate Director, (ONC FMS/MELANOMA/GU/LCM)",Bristol-Myers Squibb,"Los Angeles, CA","The Field Medical organization embodies our medical mission in becoming a trusted, agile partner who engages in relevant dialogue and delivers timely, high...",Nothing_found
700,"Associate Director, Marketing Analytics - OMD Entertainment",OMD,"Burbank, CA","Championing the use of online & offline data, proper data collection and data readiness across multiple data sources including DMP, Data Lakes and walled garden...",Nothing_found
701,"MANAGER, INVESTMENT INTEGRATION",First 5 LA,"Los Angeles, CA",Ability to synthesize and analyze large amounts of data and clearly communicate complex issues; Advanced degree from an accredited college or university in...,Nothing_found
708,Senior Director of Brand Development,Omaze,"Los Angeles, CA 90016","Leveraging storytelling, social media marketing, celebrity influence, data science and exclusive merchandise, we help charities raise more funds and awareness...",Nothing_found
709,DEPUTY AGRICULTURAL COMMISSIONER/SEALER,Los Angeles County Department of Human Resources,"Los Angeles, CA",With specialization in the agricultural or biological sciences or other appropriate disciplines as determined by the California Department of Food and...,Nothing_found
710,"Director, Information Technology",WorkCare,"Anaheim, CA 92805","The ability to gather data, compile information and prepare reports. Bachelorâ€™s degree required, emphasis in Computer Science, Management Information Systems or...",Nothing_found
711,"UM - Vice President, Partner, Portfolio Management",IPG Mediabrands.,"Los Angeles, CA","Proficient at turning data in actionable insights. We are a creative media agency, committed to blurring the lines between media and creativity, between data...",Nothing_found
712,Senior Consultant S&O Life Sciences R&D,Deloitte,"Los Angeles, CA",The professionals in Deloitteâ€™s Life Sciences Research & Development practice understand the unique challenges confronting todayâ€™s Life Sciences organizations....,Nothing_found
713,Data Analyst,Pepperdine University,"West LA, CA","This individual should have basic knowledge of HTML, advanced knowledge of Excel (including Solver) and Google Sheets, and data analysis toolsÍ_ familiarity with...",Nothing_found
714,Social Activation Director,Essence,"Los Angeles, CA 90015","Essence, part of GroupM, is a data-driven global agency that blends data science, objective media and captivating experiences to build valuable connections...",Nothing_found
715,Sr. Director of Clinical Operations,Science 37,"Playa Vista, CA","Maintain strong, effective collaborative relationships across Science 37 to include all Departments and Senior Management....",Nothing_found
716,"Account Director, Performance Marketing",TubeScience,"Los Angeles, CA",Analyze Audience Insights to understand customer demographic & psychographic data. Experience with analytical frameworks for understanding and predicting human...,Nothing_found
722,"Associate Director, Licensing - USC Stevens Center for Innovation",USC,"Los Angeles, CA","Doctorate in the Physical Sciences, such as Engineering, Computer Science, Chemistry or Physics Experience:. Bachelor's Degree in Science or Engineering....",Nothing_found
723,"Director, Operations",Starcom,"Los Angeles, CA","If youâ€™re an ambitious goal-setter whoâ€™s obsessed with the art and science of data, technology and innovation, we want you!...",Nothing_found
724,"Associate Director, OOH",Starcom,"Los Angeles, CA","If youâ€™re an ambitious goal-setter whoâ€™s obsessed with the art and science of data, technology and innovation, we want you!...",Nothing_found
725,"Associate Director, Activation",Starcom,"Los Angeles, CA","If youâ€™re an ambitious goal-setter whoâ€™s obsessed with the art and science of data, technology and innovation, we want you! Who is Starcom:....",Nothing_found
726,"Director, Study Clinician (Non-MD) Oncology",Pfizer Inc.,"Los Angeles, CA",Degree in Life Sciences preferred. The specific components of safety data review are detailed in the Safety Data Review Guide â€“ for Clinicians and SAF09 SOP...,Nothing_found
727,"Director, Evaluation and Museum Impact",L.A. COUNTY MUSEUM NH,"Los Angeles, CA","PhD in Science Education, Applied Psychology, Learning Sciences (or related field) is highly desirable. A working knowledge of social science and data analysis...",Nothing_found
728,Principal Data Analyst,UCLA HEALTH,"Los Angeles, CA","Have experience in Clinical Data Analytics and Quality Measures. BS degree in computer science, mathematics, finance, statistics, Business, or related field....",Nothing_found
730,Network Lead,Deluxe Entertainment,"Burbank, CA","Candidates who have experience building and closing sites and all the details involved in that â€“ network operations, data centers, etc....",Nothing_found
731,"Predictive Analytics Instructor, UCLA Extension",UCLA Extension,"Los Angeles, CA","Cybersecurity, data science, and applications programming subject areas. You will learn tools and acquire skills for data definition, extraction, transformation...",Nothing_found
737,"Associate Director, Knowledge Management",Childrens Hospital Los Angeles,"Los Angeles, CA","Bachelor's degree from an accredited university in Computer Sciences, Business or combination of experience and study is desirable (MBA preferred)....",Nothing_found
738,Field Reimbursement Director,Syneos Health Commerical Solutions,"Los Angeles, CA","Teaming with some of the most talented professionals in the industry, you'll gain exposure and work in a dynamic environment where you'll be supported with...",Nothing_found
739,"Manager or Director, Finance Integration",CIM Group,"Los Angeles, CA","Lead M&A integration for corporate, fund, and asset-level transactions to sync up acquiree financial data with CIM Group data standards....",Nothing_found
740,"Vice President, Enterprise Architecture",Beachbody,"Santa Monica, CA 90404","Success driving Data, Security and Application Development standards across organizations. Bachelorâ€™s degree in Information Technology, Computer Science,...",Nothing_found
741,High School Science Teacher,Collegiate Charter High School of Los Angeles,"Los Angeles, CA 90063",Collegiate is looking for a passionate and dedicated Science Teacher to join our growing team. _Valid single-subject California teaching credential in lab...,Nothing_found
742,Research Project Mgr,CEDARS-SINAI,"Los Angeles, CA","BA/BS degree in life sciences required. The Coordinator is responsible for project management, data analysis, reporting and program development to ensure the...",Nothing_found
743,"Manager, Pricing Strategy & Ops","TrueCar, Inc.","Santa Monica, CA","Major in other quantitative fields (math, science, finance/accounting) preferred. Advanced skills for utilizing Excel, analyzing data and creating financial or...",Nothing_found
744,Mental Health Therapist,Para Los Ninos,"Hollywood, CA",Enters information into the ChildPlus data system. Current Registration with Board of Behavior Sciences (BBS) or California Board of Psychology (BOP)....,Nothing_found
745,"Google Android Development Instructor, UCLA Extension",UCLA Extension,"Los Angeles, CA","Cybersecurity, data science, and applications programming subject areas. Students will build Android applications, learning how to create user interfaces,...",Nothing_found
746,"Vice President, Environmental Health and Safety",Paramount Pictures,"Hollywood, CA",MS Degree in Environmental Sciences or related Field. Coordinate internal monitoring resources and data for annual City of Los Angeles Department of Building &...,Nothing_found
797,"Director IT, Infrastructure",CIM Group,"Los Angeles, CA",Computing Data and Voice Solution Design and Management. Oversees technical training for Computing and Data and Telecommunications personnel....,Nothing_found
798,Director of Data Science,Headfarmer,"Pasadena, CA","As Director of Data Science, you will lead a team of data scientists to research, design, and develop quantitative solutions for a variety of problems....",Nothing_found
828,"Director, Digital Archive Analytics",Paramount Pictures,"Hollywood, CA","Bachelors Degree in math, statistics, computer science, engineering, library and information sciences or equivalent experience in data science or analytics...",Nothing_found
843,"Senior Manager / Associate Director, Project Management",Atara Biotherapeutics,"Los Angeles, CA","Degree or higher, preferably in Life Sciences. One mission - Transform the lives of patients with serious medical conditions through pioneering science,...",Nothing_found
850,"ASSOCIATE DEAN, MIKE CURB COLLEGE OF ARTS, MEDIA, AND COMMUNICAT (7199)",California State University,"Northridge, CA","Demonstrated ability to gather, analyze, and use data in decision-making processes and ability to clearly explain the use of data in these processes;...",Nothing_found
861,Process Improvement Director,IMS Health Incorporated,"Valencia, CA",Strong knowledge of Microsoft Office and other data capture and compilation tools. Ability to demonstrate and apply relevant and evolving subject matter...,Nothing_found
862,Process Improvement Director,QuintilesIMS,"Valencia, CA",Strong knowledge of Microsoft Office and other data capture and compilation tools. Ability to demonstrate and apply relevant and evolving subject matter...,Nothing_found
863,Process Improvement Director,Q2 Solutions,"Valencia, CA",Strong knowledge of Microsoft Office and other data capture and compilation tools. Ability to demonstrate and apply relevant and evolving subject matter...,Nothing_found
864,School Data Analyst,Charter Impact,"Encino, CA","Expand automation of systems to improve overall system stability, improve data collection/linkages across multiple data systems....",Nothing_found
873,"Director, Production - Men's Fashion",LUCKY BRAND,"Los Angeles, CA","Demonstrated ability to use data for decision-making and strategizing. Bachelor's degree in related industry--Textile Science, Fashion Design, Global Sourcing,...",Nothing_found
874,"Director, Business Intel",Twentieth Century Fox,"Los Angeles, CA",BA/BS degree (MS or PhD preferred) in Statistics or Data Science. Work with multiple data sets:. Produce digital KPI & business status dashboards and reporting...,Nothing_found
875,VP of Marketing,Omaze,"Los Angeles, CA",Analytically driven - excited to develop our data-driven marketing team and partner with our data science team to unlock additional impact....,Nothing_found
876,Manager - School & Teacher Programs,L.A. COUNTY MUSEUM NH,"Los Angeles, CA","Background in biology, cultural studies, science, history/anthropology and/or related field. Support fundraising efforts through school and teacher program data...",Nothing_found
877,VP - Technology Audit,Green Dot,"Pasadena, CA 91107","BS in Business, Computer Science, Information Technology, or other related fields. Knowledge of networks, data security, business processes, complex systems,...",Nothing_found
878,Machine Learning Using R Instructor,UCLA Extension,"Los Angeles, CA","Course disciplines cybersecurity, data science and applications programming subject areas. This field is made possible due to the rapid and simultaneous...",Nothing_found
879,Fundamentals of Cybersecurity Instructor,UCLA Extension,"Los Angeles, CA","Course disciplines cybersecurity, data science and applications programming subject areas. Minimum BS degree in computer science, information technology or...",Nothing_found
880,PSH Program Director,The People Concern,"Los Angeles, CA","Generate monthly list of clients that need HMIS or CHAMP data corrections. Licensed 2 years, and in good standing with the California Board of Behavioral...",Nothing_found
887,"Director of Admissions- KP School of Medicine- Pasadena, CA",Kaiser Permanente,"Pasadena, CA","Master's degree or equivalent in education, administration, business, social sciences, human resources, marketing or related field....",Nothing_found
888,Housing For Health Clinical Program Manager,"Downtown Women's Center, Inc.","Los Angeles, CA","Licensed by the Board of Behavioral Sciences, preferred. Collect and report program data, including but not limited to HMIS reporting....",Nothing_found
889,Cybersecurity Regulatory Compliance Instructor,UCLA Extension,"Los Angeles, CA","Course disciplines cybersecurity, data science and applications programming subject areas. Minimum BS degree in computer science, information technology or...",Nothing_found
891,Director of Permanent Supportive Housing,"Downtown Women's Center, Inc.","Los Angeles, CA","In good standing with the Board of Behavioral Sciences required. Two years post licensure, with the ability to sign Board of Behavioral Sciences hours required....",Nothing_found
893,"Digital Channels Technology Development, Managing Director",MUFG,"Los Angeles, CA","Approves final packages to ensure systems adhere to corporate policies, practices and data standards. At least 10+ years direct experience in managing staff or...",Nothing_found
894,Cybersecurity Risk Management Instructor,UCLA Extension,"Los Angeles, CA","Course disciplines cybersecurity, data science and applications programming subject areas. Minimum BS degree in computer science, information technology or...",Nothing_found
895,Director of Engineering - E-Commerce,FabFitFun,"Los Angeles, CA",Bachelorâ€™s degree or higher in Computer Science. This role interacts heavily with Quality Assurance and Data Engineering to provide a truly personalized...,Nothing_found
896,Associate Research Administrator,USC,"Los Angeles, CA","Gather data necessary to submit proposals, including budget preparation, in accordance with the agency and university guidelines....",Nothing_found
900,Director of Data & Analytics,Joybird,"Commerce, CA","Develop and own analytics algorithms and models. 4+ years of success leading a Data Analytics team for a high growth, preferably B2C, company....",Nothing_found
901,Director of Marketing,"Outstanding Foods, Inc.","Los Angeles, CA","Including advertising, PR/events, social media and retail activities while using leveraging data analytics and creative thinking to drive growth of key business...",Nothing_found
902,Principal Data Analyst,UCLA Health,"Los Angeles, CA 90079","Have experience in Clinical Data Analytics and Quality Measures. Under the supervision of the Director, Quality Informatics and Analytics, this position...",Nothing_found
903,"Director, People Analytics",Hulu,"Santa Monica, CA",Consult with key stakeholders to help them use people analytics most effectively. Ability to lead and set the Talent Analytics roadmap to drive business goals....,Nothing_found
904,"Director, Enterprise Data and Analytics Solutions",L.A. Care Health Plan,"Los Angeles, CA 90017","Care's enterprise data strategy and analytics solutions. In collaboration with the Managing Director of Enterprise Data Strategy and Analytics (EDSA), defines...",Nothing_found
905,"Smashbox- Executive Director, Strategy, Insights & Analytics",Estee Lauder,"Culver City, CA 90232","Serve as the Brand lead for all proprietary research and measurement for the brand and partner with corporate strategy, insights and analytics teams....",Nothing_found
906,Director Analytics,Campbell-Ewald,"Los Angeles, CA 90064",Capability to manage near-term analytics needs while also thinking about longer-term data and analytics objectives....,Nothing_found
907,"Director, Applied Analytics",NBCUniversal,"Universal City, CA","Web and marketing analytics skills (e.g, Adobe Analytics, Google Analytics, SalesForce) are preferred. Member of Applied Analytics leadership team;...",Nothing_found
908,Director of Analytics,MeUndies,"Culver City, CA","As our Director of Analytics, you will have a passion for analytics, and the ability to own and conduct complete business analyses;...",Nothing_found
909,"Director, Consumer Insights & Marketing Analytics",Warner Bros. Entertainment Group,"Burbank, CA","Experience with Tableau, Google Analytics, and social listening tools (e.g., Spredfast, Tubular). 8 - 10 years of experience in marketing analytics, data...",Nothing_found
910,"Director, Data Science","TrueCar, Inc.","Santa Monica, CA","Manage multiple analytics projects to deliver end-to-end solutions:. The Director, Data Science, will work in a fast-paced environment, with diverse data sets...",Nothing_found
911,"Director, Data Science",NBCUniversal,"Universal City, CA","Working knowledge of multiple analytics and programming languages with particular expertise in R, Scala, Python and Java....",Nothing_found
912,Vice President of Data Science,Futuredontics,"Los Angeles, CA 90045","Who We Are: In your hierarchy of needs where do innovation, collaboration and changing the world for the better rank? Here at Futuredontics, we are intent on...",Nothing_found
913,Director of Analytics,AMERICAN ADVISORS GROUP,"Orange, CA","Director of Business Analytics*. Continuously innovate on internal processes and tools, advance analytics methodologies, and be a creative force in the...",Nothing_found
914,Director of Quality & Analytics,MedMen,"Culver City, CA","Proactively monitor industry trends to develop programs, policy, and procedure for compliance with product safety, quality, and analytics....",Nothing_found
917,"Sr. Director, Business Analytics & Research",NBCUniversal,"Universal City, CA","Oversee and develop a team with skills in analytics, statistics, econometric modeling and consumer research. Reporting to the Vice President, Creative Content...",Nothing_found
918,"Director, Business Analytics & Research",NBCUniversal,"Universal City, CA","Reporting to the Vice President, Creative Content Protection, the Director, Business Analytics & Research is tasked with leading research, data, analytics, and...",Nothing_found
919,"Director, Digital Archive Analytics",Paramount Pictures,"Hollywood, CA","7+ years experience w/ data analytics in relation to digital and physical archives. Bachelors Degree in math, statistics, computer science, engineering, library...",Nothing_found
